id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
2B1kUurtkouW2diExbR0FU,Magic Love - Ashley Beedle's Black Magic Remix Edit,Bent,house,0.0015,0.7829999999999999,0.9690000000000001,550267,0.7809999999999999,0.821,9,0.11,-7.6610000000000005,0,0.0342,125.01299999999999,4
5JqkNvz7lGjyhO6NHr4SRT,Infinity,Matthias Meyer,house,0.0116,0.8009999999999999,0.2,478521,0.841,0.7959999999999999,0,0.0516,-8.251,1,0.0495,124.014,4
0ZEcI78PzxOXJ7mY3cRQDV,Reach 4 Freedom - DF's Vocal Mix,Dennis Ferrer,house,0.0521,0.662,0.9159999999999999,507744,0.88,0.00024300000000000002,1,0.0341,-7.504,0,0.0669,125.977,4
1vLmOKLu6JTuMt15eVLdKt,Jumpin',Todd Terry,house,0.00193,0.879,0.496,378093,0.935,0.8340000000000001,9,0.084,-7.357,1,0.126,122.725,4
2d03giVhJ2qwNBCoO3rk0f,Out Of The Storm - C's Planet E Special Mix,Incognito,house,0.0101,0.6940000000000001,0.385,640267,0.444,0.593,4,0.109,-9.656,0,0.0396,104.178,4
03Rh7fA3tIy6v3jN4MFCPB,Rain Falls,Frankie Knuckles,house,0.0010400000000000001,0.6509999999999999,0.585,362600,0.7120000000000001,0.10300000000000001,1,0.192,-15.609000000000002,0,0.0373,116.708,4
12OxTTFpxMwIGQdQDMAF7H,Sweat (On The Walls) - Sebo K Remix,John Tejada,house,0.00434,0.81,0.39399999999999996,402173,0.813,0.835,0,0.0795,-10.076,1,0.0608,124.99799999999999,4
6t4U5cySJykdrN12CROvhD,Sweep The Floor,Joris Voorn,house,0.00116,0.84,0.5660000000000001,394280,0.769,0.828,6,0.625,-10.115,0,0.0577,124.98700000000001,4
2O5oL5wpiGI7vcO1kFhZwa,Same Man,Franky Rizardo,house,6.759999999999999e-05,0.8059999999999999,0.948,388481,0.9059999999999999,0.909,0,0.0498,-7.2410000000000005,1,0.0549,125.009,4
0s7owZYu67IBqt5e1Y00Hh,Do You Want Me Baby - Dusky Remix,Cloud 9,house,0.000595,0.807,0.767,423440,0.696,0.20199999999999999,11,0.0744,-7.5520000000000005,1,0.0909,123.001,4
